Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
mlp,SPY,C_tau_ties3,0.4,33,-0.16125151688696587,51.515151515151516,-0.11540322425466243,-1.1282765366994236,95.58620689655173,-9.58650072515379,
mlp,SPY,C_tau_ties3,0.5,33,-0.16125151688696587,51.515151515151516,-0.11540322425466243,-1.1282765366994236,95.58620689655173,-9.58650072515379,
mlp,SPY,C_tau_ties5,0.2,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties5,0.3,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties5,0.4,31,0.1470954891014994,64.51612903225806,0.11193897893872652,1.0607250668393586,89.79310344827586,-6.076072243666264,
mlp,SPY,C_tau_ties5,0.5,28,0.08176196430621031,60.71428571428571,0.05980736428075891,0.5386098893364993,81.10344827586206,-6.076072243666264,
mlp,SPY,No Filter,,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,TLT,C_Mallows_full,0.2,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_Mallows_full,0.3,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_Mallows_full,0.4,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_Mallows_full,0.5,21,-0.03672460928999162,47.61904761904761,-0.031291832754460715,-0.2276359856092305,52.92,-7.316073447457239,
mlp,TLT,C_RBO_full,0.2,26,0.01793161904166332,53.84615384615385,0.017466980927814697,0.14138547343147642,65.52000000000001,-5.851225430883655,
mlp,TLT,C_RBO_full,0.3,21,0.05641393311376522,57.14285714285714,0.0502902383470182,0.36584204135549364,52.92,-5.1479034201340035,
mlp,TLT,C_RBO_full,0.4,18,0.10007022178693228,61.111111111111114,0.08410930205953777,0.5664747444254463,45.36,-3.9836549470087412,
mlp,TLT,C_RBO_full,0.5,17,0.07993937240521919,58.82352941176471,0.06535176526444021,0.42774215607181704,42.84,-3.9836549470087412,
mlp,TLT,C_tau_full,0.2,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_full,0.3,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_full,0.4,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_full,0.5,21,-0.03672460928999162,47.61904761904761,-0.031291832754460715,-0.2276359856092305,52.92,-7.316073447457239,
mlp,TLT,C_tau_ties10,0.2,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties10,0.3,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties10,0.4,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties10,0.5,18,0.1857027524727803,61.111111111111114,0.14836398172744814,0.9992289386910607,45.36,-2.7955433017109677,
mlp,TLT,C_tau_ties3,0.2,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties3,0.3,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties3,0.4,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties3,0.5,18,-0.15256723910108683,44.44444444444444,-0.1360783399845334,-0.9164853467695173,45.36,-5.531982036605854,
mlp,TLT,C_tau_ties5,0.2,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties5,0.3,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties5,0.4,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
mlp,TLT,C_tau_ties5,0.5,16,-0.05634083190827477,50.0,-0.04582677315500135,-0.2909909883760906,40.32,-5.226348817176962,
